DATE,ACCT,DESC,Category,Amount
05/04/2020,CHASE,Amazon.com*ZV9ML33S3,AMAZON,-$14.38
05/04/2020,CHASE,Amazon.com*AT2VR4D23,AMAZON,-$9.90
05/04/2020,CHASE,Amazon.com*Y27LV0SY3,AMAZON,-$35.00
05/04/2020,CHASE,Amazon.com*8T3UM5JF3,AMAZON,-$5.38
05/04/2020,CHASE,Amazon.com*4111154L3,AMAZON,-$36.02
05/04/2020,CHASE,Amazon.com*IM6RH16Z3,AMAZON,-$15.20
05/04/2020,CHASE,AMZN Mktp US*RB3JR0SV3,AMAZON,-$19.07
05/04/2020,CHASE,Amazon.com*S38EV5LO3,AMAZON,-$18.89
05/04/2020,CHASE,Amazon.com*EC2K04EU3,AMAZON,-$24.43
05/05/2020,CHASE,Amazon.com*DO7G74WV3,AMAZON,-$6.86
05/05/2020,CHASE,SARDIS BEL* SARDIS CHI,AMAZON,-$46.04
05/05/2020,CHASE,Amazon.com*BE1QR4R13,AMAZON,-$6.25
05/05/2020,CHASE,Amazon.com*9P4XW4PM3,AMAZON,-$41.43
05/06/2020,CHASE,AMZN Mktp US*MA8BQ9UI3,AMAZON,-$19.55
05/06/2020,CHASE,Amazon.com*FU9SA0OX3,AMAZON,-$6.70
05/06/2020,CHASE,AMZN Mktp US*S887K9ON3,AMAZON,-$16.96
05/06/2020,CHASE,AMZN Mktp US*ZJ4P471D3,AMAZON,-$28.79
05/06/2020,CHASE,AMZN Mktp US*5Q2DI5E93,AMAZON,-$33.24
05/06/2020,CHASE,Amazon.com*4C8TE9NF3,AMAZON,-$11.69
05/06/2020,CHASE,Amazon.com*RO1E44M53,AMAZON,-$16.25
05/06/2020,CHASE,Amazon.com*1E1BZ8CP3,AMAZON,-$38.25
05/06/2020,CHASE,Amazon.com*0U5MK97F3,AMAZON,-$12.74
05/06/2020,CHASE,Amazon.com*PV79M3P03,AMAZON,-$52.99
05/06/2020,CHASE,AMZN Mktp US*3P4J46A03,AMAZON,-$25.46
05/06/2020,CHASE,Amazon.com*5H6LT06K3,AMAZON,-$14.05
05/06/2020,CHASE,Amazon.com*NG3RS0633,AMAZON,-$3.57
05/09/2020,CHASE,PAYPAL *TRACTORSUPP,ENTERTAINMENT,-$138.77
05/09/2020,CHASE,Amazon.com*S56XP5DN3,AMAZON,-$50.00
05/11/2020,CHASE,AMZN Mktp US*H03QL9H33,AMAZON,-$4.51
05/14/2020,CHASE,WALMART.COM,DIAPERS & WIPES,-$77.99
05/16/2020,CHASE,LITERATIBOOKS.COM,ENTERTAINMENT,-$4.95
05/16/2020,CHASE,AMZN Mktp US*MC38U5YC1,GROCERIES,-$137.29
05/18/2020,CHASE,Amazon Tips*MC3H49R82,GROCERIES,-$7.00
05/19/2020,CHASE,AMZN Mktp US*M76IV3TP1,AMAZON,-$25.43
05/19/2020,CHASE,Amazon.com*M750A2FS2,AMAZON,-$29.24
05/19/2020,CHASE,AMZN Mktp US*MC9JC8YY2,AMAZON,-$143.09
05/20/2020,CHASE,AMZN Mktp US*M78HS80J1,AMAZON,-$7.41
05/20/2020,CHASE,ST. PATRICKS CHURCH,NECESSITIES,$200.00
05/21/2020,CHASE,AMZN Mktp US*M741M2090,GROCERIES,-$47.10
05/21/2020,CHASE,AMZN Mktp US*M71AL0GZ1,AMAZON,-$33.74
05/22/2020,CHASE,AMZN Mktp US*M79OV4JI2,AMAZON,-$10.59
05/22/2020,CHASE,TARGET.COM  *,TARGET,-$13.58
05/22/2020,CHASE,TARGET.COM  *,TARGET,-$64.64
05/22/2020,CHASE,AMZN Mktp US*M71KW5PC0,AMAZON,-$14.83
05/23/2020,CHASE,Amazon Tips*M71AA8VU0,GROCERIES,-$5.00
05/23/2020,CHASE,AMZN Mktp US*M713D3MY0,AMAZON,-$34.59
05/23/2020,CHASE,AMZN Mktp US*M70AE4EZ2,AMAZON,-$58.53
05/23/2020,CHASE,TARGET.COM  *,TARGET,-$52.73
05/24/2020,CHASE,AMZN Mktp US*M72SD4Q21,AMAZON,-$11.65
05/27/2020,CHASE,AMZN Mktp US*M73GF32O0,GROCERIES,-$158.94
05/28/2020,CHASE,VISTAPR*VistaPrint.com,NECESSITIES,-$16.56
05/29/2020,CHASE,Amazon Tips*M76T20DK2,GROCERIES,-$10.00
05/29/2020,CHASE,PAYPAL *RINGTOP LTD,ENTERTAINMENT,-$51.67
05/29/2020,CHASE,TARGET.COM *,TARGET,-$9.29
05/29/2020,CHASE,TARGET.COM *,TARGET,-$48.91
05/30/2020,CHASE,THE BIG GREEK CAFE- SILVE,RESTAURANT,-$41.85
06/01/2020,CHASE,Amazon.com*MY9TK44Y0,AMAZON,-$5.80
06/02/2020,CHASE,Amazon.com*MY1W91CP2,AMAZON,-$16.58
06/03/2020,CHASE,AMZN Mktp US*MY1SL6J20,AMAZON,-$9.05
06/03/2020,CHASE,Amazon.com*MY4S38JM0,AMAZON,-$15.43
06/03/2020,CHASE,Amazon.com*MY4774402,GROCERIES,-$13.34
06/03/2020,CHASE,Amazon.com*MY6KL8JA0,GROCERIES,-$15.20
06/03/2020,CHASE,Amazon.com*MY2CB0FW2,AMAZON,-$3.09
06/03/2020,CHASE,AMZN Mktp US*MY1GL5F12,AMAZON,-$25.53
06/03/2020,CHASE,Amazon.com*MY5356PM1,AMAZON,-$6.75
06/03/2020,CHASE,Amazon.com*MY5VD1PG1,AMAZON,-$11.69
06/03/2020,CHASE,Amazon.com*MY3SX1J50,AMAZON,-$3.74
06/03/2020,CHASE,Amazon.com*MY0SS2JQ0,AMAZON,-$3.45
06/03/2020,CHASE,Amazon.com*MY6CH2F12,AMAZON,-$8.08
06/04/2020,CHASE,TARGET.COM *,TARGET,-$4.99
06/04/2020,CHASE,TARGET.COM *,TARGET,-$7.00
06/04/2020,CHASE,TARGET.COM *,TARGET,-$53.90
06/05/2020,CHASE,Amazon.com*MY3W35PQ0,GROCERIES,-$30.50
